,gpa,major,gmat,work_exp,admission
1423,3.1,Business,670.0,7.0,Rejected
1424,3.37,Business,710.0,7.0,Rejected
1425,3.06,STEM,590.0,5.0,Rejected
1426,3.25,Humanities,650.0,4.0,Rejected
1427,3.21,Business,700.0,6.0,Rejected
1428,3.05,Business,660.0,6.0,Rejected
1429,3.06,Humanities,610.0,7.0,Rejected
1430,3.17,STEM,640.0,4.0,Rejected
1431,3.29,Humanities,760.0,4.0,Rejected
1432,3.26,Humanities,660.0,6.0,Rejected
1433,3.37,Business,650.0,5.0,Rejected
1434,3.44,Humanities,710.0,6.0,Rejected
1435,3.62,STEM,740.0,6.0,Rejected
1436,3.2,Humanities,580.0,5.0,Rejected
1437,3.0,Humanities,670.0,3.0,Rejected
1438,2.89,STEM,570.0,5.0,Rejected
1439,3.2,Humanities,580.0,4.0,Rejected
1440,3.35,Humanities,680.0,4.0,Rejected
1441,3.29,Business,580.0,6.0,Rejected
1442,3.24,STEM,690.0,4.0,Rejected
1443,3.12,STEM,570.0,5.0,Rejected
1444,3.34,STEM,650.0,7.0,Rejected
1445,3.18,Humanities,730.0,5.0,Rejected
1446,3.42,Humanities,720.0,6.0,Admit
1447,3.03,STEM,610.0,5.0,Rejected
1448,3.29,Humanities,690.0,5.0,Rejected
1449,3.49,STEM,680.0,4.0,Rejected
1450,3.11,STEM,570.0,4.0,Rejected
1451,3.55,STEM,620.0,5.0,Rejected
1452,3.1,Humanities,660.0,6.0,Rejected
1453,3.58,Business,730.0,6.0,Admit
1454,3.32,STEM,740.0,7.0,Rejected
1455,3.28,Business,640.0,4.0,Rejected
1456,3.3,Humanities,670.0,6.0,Waitlist
1457,3.31,STEM,680.0,4.0,Admit
1458,3.19,Business,720.0,4.0,Rejected
1459,3.39,STEM,670.0,4.0,Rejected
1460,3.17,STEM,570.0,6.0,Rejected
1461,3.32,Humanities,720.0,6.0,Rejected
1462,3.45,Humanities,690.0,5.0,Admit
1463,3.23,Humanities,630.0,4.0,Rejected
1464,2.96,STEM,600.0,5.0,Rejected
1465,3.11,Business,630.0,5.0,Rejected
1466,3.38,Humanities,680.0,5.0,Rejected
1467,3.37,Business,640.0,5.0,Rejected
1468,3.25,Business,620.0,4.0,Rejected
1469,3.15,Business,610.0,7.0,Rejected
1470,3.28,STEM,660.0,5.0,Rejected
1471,3.4,Business,750.0,6.0,Rejected
1472,3.17,Humanities,700.0,5.0,Rejected
1473,3.19,STEM,660.0,6.0,Rejected
1474,3.38,Business,650.0,4.0,Rejected
1475,3.2,Business,580.0,6.0,Rejected
1476,3.0,STEM,630.0,6.0,Rejected
1477,3.54,STEM,590.0,5.0,Rejected
1478,3.03,STEM,640.0,5.0,Rejected
1479,3.14,Business,570.0,4.0,Rejected
1480,3.28,Humanities,650.0,4.0,Rejected
1481,3.37,Humanities,700.0,4.0,Rejected
1482,3.25,Humanities,600.0,4.0,Rejected
1483,3.37,STEM,660.0,5.0,Rejected
1484,3.21,STEM,660.0,6.0,Rejected
1485,3.24,STEM,690.0,5.0,Rejected
1486,3.19,STEM,570.0,4.0,Rejected
1487,3.12,Business,610.0,5.0,Rejected
1488,3.22,Humanities,680.0,6.0,Admit
1489,3.05,STEM,620.0,5.0,Rejected
1490,3.26,Business,620.0,4.0,Rejected
1491,3.39,Humanities,630.0,5.0,Rejected
1492,2.73,STEM,570.0,6.0,Rejected
1493,3.25,STEM,640.0,4.0,Rejected
1494,3.22,STEM,570.0,5.0,Rejected
1495,3.25,Humanities,630.0,6.0,Rejected
1496,3.53,Business,750.0,5.0,Admit
1497,3.3,Humanities,600.0,5.0,Rejected
1498,3.32,Business,690.0,5.0,Rejected
1499,3.38,Business,720.0,5.0,Rejected
1500,3.12,Business,590.0,4.0,Rejected
1501,3.4,Humanities,680.0,4.0,Rejected
1502,3.16,Business,620.0,3.0,Rejected
1503,3.42,STEM,740.0,5.0,Admit
1504,3.52,Humanities,710.0,6.0,Admit
1505,3.15,STEM,690.0,4.0,Rejected
1506,3.42,Humanities,770.0,6.0,Rejected
1507,3.33,Business,760.0,6.0,Admit
1508,3.68,Business,760.0,5.0,Rejected
1509,3.03,Business,590.0,5.0,Rejected
1510,3.02,STEM,660.0,4.0,Rejected
1511,3.23,STEM,640.0,4.0,Rejected
1512,3.43,STEM,700.0,3.0,Admit
1513,3.26,Business,670.0,6.0,Rejected
1514,2.97,Humanities,600.0,5.0,Rejected
1515,2.97,STEM,600.0,5.0,Rejected
1516,3.37,STEM,680.0,6.0,Rejected
1517,3.53,Humanities,640.0,5.0,Rejected
1518,3.2,STEM,700.0,5.0,Rejected
1519,3.19,STEM,580.0,5.0,Rejected
1520,3.02,Humanities,710.0,4.0,Rejected
1521,3.16,Business,630.0,5.0,Rejected
1522,3.2,STEM,670.0,4.0,Rejected
1523,3.09,Humanities,590.0,7.0,Rejected
1524,3.4,Humanities,620.0,5.0,Rejected
1525,3.38,STEM,650.0,5.0,Rejected
1526,3.23,STEM,570.0,5.0,Rejected
1527,3.25,Humanities,650.0,5.0,Rejected
1528,3.28,Humanities,610.0,6.0,Rejected
1529,3.19,Humanities,680.0,4.0,Rejected
1530,3.08,Humanities,660.0,5.0,Rejected
1531,3.22,Business,600.0,6.0,Rejected
1532,3.1,Humanities,630.0,4.0,Rejected
1533,3.02,STEM,640.0,4.0,Rejected
1534,3.21,STEM,660.0,6.0,Admit
1535,3.14,Business,580.0,5.0,Rejected
1536,3.26,Business,590.0,3.0,Rejected
1537,3.38,Humanities,700.0,6.0,Rejected
1538,3.13,Humanities,630.0,4.0,Rejected
1539,3.18,Business,630.0,4.0,Rejected
1540,3.41,Business,690.0,6.0,Rejected
1541,3.16,Humanities,620.0,5.0,Rejected
1542,3.12,Business,670.0,4.0,Rejected
1543,3.2,Humanities,600.0,6.0,Rejected
1544,3.17,STEM,710.0,4.0,Rejected
1545,3.3,Humanities,670.0,5.0,Rejected
1546,3.45,STEM,680.0,6.0,Rejected
1547,3.2,STEM,640.0,4.0,Rejected
1548,3.17,STEM,610.0,5.0,Rejected
1549,3.3,STEM,630.0,6.0,Rejected
1550,3.3,STEM,670.0,5.0,Rejected
1551,3.31,Humanities,660.0,5.0,Admit
1552,3.25,STEM,670.0,8.0,Rejected
1553,3.11,Humanities,580.0,8.0,Rejected
1554,3.21,Business,730.0,5.0,Admit
1555,3.2,STEM,600.0,4.0,Rejected
1556,3.28,STEM,610.0,6.0,Rejected
1557,3.35,Business,650.0,4.0,Rejected
1558,3.13,Business,640.0,5.0,Rejected
1559,3.03,Humanities,600.0,6.0,Rejected
1560,3.48,Business,680.0,5.0,Rejected
1561,2.97,STEM,600.0,5.0,Rejected
1562,3.22,STEM,640.0,4.0,Rejected
1563,3.38,Humanities,630.0,3.0,Rejected
1564,3.51,STEM,710.0,5.0,Admit
1565,3.29,STEM,740.0,5.0,Rejected
1566,3.2,STEM,590.0,4.0,Rejected
1567,3.23,Business,650.0,5.0,Rejected
1568,3.32,STEM,630.0,5.0,Rejected
1569,3.15,STEM,620.0,5.0,Rejected
1570,3.13,Humanities,630.0,7.0,Rejected
1571,3.24,Humanities,670.0,5.0,Rejected
1572,2.84,Humanities,610.0,6.0,Rejected
1573,3.32,Humanities,710.0,5.0,Rejected
1574,3.61,Humanities,640.0,6.0,Rejected
1575,3.2,STEM,700.0,7.0,Rejected
1576,3.21,Humanities,600.0,4.0,Rejected
1577,3.11,Business,570.0,3.0,Rejected
1578,3.17,Business,570.0,2.0,Rejected
1579,3.4,Humanities,700.0,5.0,Admit
1580,3.05,STEM,570.0,6.0,Rejected
1581,3.18,Humanities,590.0,6.0,Rejected
1582,3.13,STEM,610.0,5.0,Rejected
1583,3.4,Business,660.0,5.0,Rejected
1584,3.36,Humanities,720.0,6.0,Admit
1585,3.36,Business,670.0,5.0,Rejected
1586,3.32,STEM,690.0,3.0,Rejected
1587,3.27,Business,660.0,5.0,Rejected
1588,3.04,Humanities,610.0,4.0,Rejected
1589,3.09,STEM,570.0,6.0,Rejected
1590,3.12,Humanities,610.0,5.0,Rejected
1591,3.46,Business,680.0,4.0,Rejected
1592,3.03,Humanities,600.0,5.0,Rejected
1593,3.29,Humanities,670.0,6.0,Rejected
1594,3.25,Business,730.0,5.0,Rejected
1595,3.43,STEM,660.0,6.0,Admit
1596,3.12,STEM,630.0,6.0,Rejected
1597,3.13,Business,660.0,3.0,Rejected
1598,3.22,Humanities,580.0,5.0,Rejected
1599,3.55,STEM,690.0,5.0,Rejected
1600,3.33,STEM,700.0,4.0,Admit
1601,3.45,STEM,680.0,3.0,Rejected
1602,3.18,STEM,640.0,4.0,Rejected
1603,3.01,STEM,610.0,5.0,Rejected
1604,3.14,Humanities,670.0,6.0,Rejected
1605,3.23,STEM,740.0,5.0,Rejected
1606,3.14,Business,650.0,4.0,Rejected
1607,3.33,Humanities,690.0,3.0,Admit
1608,3.27,STEM,710.0,5.0,Rejected
1609,3.32,Humanities,600.0,4.0,Rejected
1610,3.47,STEM,660.0,6.0,Rejected
1611,3.18,STEM,670.0,6.0,Rejected
1612,3.3,Business,660.0,6.0,Rejected
1613,3.26,Humanities,640.0,4.0,Rejected
1614,3.24,Humanities,620.0,5.0,Rejected
1615,3.42,Business,660.0,6.0,Rejected
1616,3.13,Humanities,570.0,4.0,Rejected
1617,3.37,Humanities,700.0,5.0,Rejected
1618,3.04,Humanities,570.0,4.0,Rejected
1619,3.31,Business,660.0,6.0,Admit
1620,3.18,Business,670.0,5.0,Rejected
1621,3.29,STEM,650.0,5.0,Rejected
1622,3.39,STEM,660.0,3.0,Rejected
1623,3.13,STEM,650.0,4.0,Rejected
1624,3.21,STEM,660.0,6.0,Rejected
1625,3.5,STEM,770.0,7.0,Rejected
1626,3.31,Business,630.0,3.0,Rejected
1627,3.45,STEM,700.0,3.0,Rejected
1628,3.24,Humanities,610.0,3.0,Rejected
1629,3.36,Humanities,670.0,5.0,Rejected
1630,3.19,Business,610.0,5.0,Rejected
1631,3.62,Business,760.0,5.0,Rejected
1632,2.82,Humanities,570.0,6.0,Rejected
1633,3.17,STEM,620.0,7.0,Rejected
1634,3.46,Business,670.0,5.0,Rejected
1635,3.01,STEM,590.0,5.0,Rejected
1636,3.5,STEM,760.0,3.0,Rejected
1637,3.34,Business,680.0,5.0,Rejected
1638,3.28,Business,650.0,4.0,Rejected
1639,3.32,STEM,680.0,5.0,Rejected
1640,2.9,Business,570.0,6.0,Rejected
1641,3.25,STEM,660.0,5.0,Rejected
1642,3.11,STEM,610.0,6.0,Rejected
1643,3.37,STEM,630.0,5.0,Rejected
1644,3.37,STEM,660.0,6.0,Rejected
1645,3.47,Humanities,740.0,6.0,Admit
1646,2.99,STEM,700.0,7.0,Rejected
1647,3.18,Business,640.0,7.0,Rejected
1648,3.13,Business,630.0,4.0,Rejected
1649,3.44,Humanities,720.0,4.0,Admit
1650,3.5,Humanities,730.0,5.0,Admit
1651,3.24,Humanities,610.0,5.0,Rejected
1652,3.18,STEM,620.0,4.0,Rejected
1653,3.23,Humanities,700.0,5.0,Rejected
1654,3.38,Humanities,680.0,4.0,Rejected
1655,3.11,Humanities,670.0,6.0,Rejected
1656,3.3,STEM,580.0,5.0,Rejected
1657,3.3,Business,660.0,4.0,Rejected
1658,3.14,Humanities,650.0,3.0,Rejected
1659,3.28,Humanities,620.0,5.0,Rejected
1660,3.31,STEM,760.0,6.0,Rejected
1661,3.15,Humanities,570.0,4.0,Rejected
1662,3.35,Business,700.0,7.0,Admit
1663,3.29,Humanities,700.0,5.0,Rejected
1664,3.19,Business,660.0,3.0,Rejected
1665,3.16,Business,590.0,5.0,Rejected
1666,3.09,Humanities,610.0,5.0,Rejected
1667,3.45,Humanities,660.0,5.0,Admit
1668,3.26,Humanities,650.0,6.0,Rejected
1669,3.01,Humanities,620.0,2.0,Rejected
1670,3.22,Humanities,620.0,5.0,Rejected
1671,3.33,Business,650.0,5.0,Rejected
1672,3.23,STEM,650.0,3.0,Rejected
1673,3.11,Business,570.0,5.0,Rejected
1674,3.29,STEM,640.0,5.0,Rejected
1675,3.3,Humanities,590.0,6.0,Rejected
1676,3.12,STEM,610.0,5.0,Rejected
1677,3.06,Humanities,570.0,5.0,Rejected
1678,3.14,Humanities,660.0,5.0,Rejected
1679,3.28,Humanities,620.0,5.0,Rejected
1680,3.26,Business,620.0,4.0,Rejected
1681,3.27,STEM,590.0,6.0,Rejected
1682,3.33,STEM,710.0,4.0,Admit
1683,3.41,STEM,600.0,5.0,Rejected
1684,3.24,STEM,630.0,6.0,Rejected
1685,3.13,Business,640.0,5.0,Rejected
1686,3.43,STEM,660.0,6.0,Admit
1687,3.36,Humanities,670.0,5.0,Rejected
1688,3.0,Humanities,580.0,5.0,Rejected
1689,3.14,Humanities,610.0,6.0,Rejected
1690,3.56,STEM,720.0,3.0,Rejected
1691,3.0,Business,620.0,4.0,Rejected
1692,3.13,Business,710.0,6.0,Rejected
1693,3.42,STEM,650.0,4.0,Rejected
1694,3.35,STEM,690.0,6.0,Rejected
1695,3.48,Humanities,680.0,5.0,Rejected
1696,3.43,Humanities,690.0,5.0,Admit
1697,2.78,Humanities,570.0,6.0,Rejected
1698,3.26,STEM,690.0,5.0,Rejected
1699,3.1,STEM,650.0,4.0,Rejected
1700,3.16,Humanities,580.0,4.0,Rejected
1701,3.08,Business,670.0,4.0,Rejected
1702,3.19,Humanities,570.0,5.0,Rejected
1703,3.5,Humanities,640.0,3.0,Rejected
1704,3.24,Humanities,630.0,6.0,Rejected
1705,3.31,Humanities,580.0,6.0,Rejected
1706,3.27,Humanities,700.0,5.0,Admit
1707,3.22,STEM,680.0,4.0,Rejected
1708,3.24,Business,610.0,5.0,Rejected
1709,3.31,Business,750.0,5.0,Rejected
1710,3.43,Humanities,680.0,6.0,Admit
1711,3.23,Business,600.0,5.0,Rejected
1712,3.13,Business,600.0,5.0,Rejected
1713,3.32,STEM,740.0,5.0,Admit
1714,3.64,Business,780.0,6.0,Rejected
1715,3.13,Humanities,570.0,5.0,Rejected
1716,3.27,Humanities,620.0,4.0,Rejected
1717,3.36,Business,680.0,5.0,Admit
1718,3.18,STEM,590.0,6.0,Rejected
1719,3.22,Business,650.0,4.0,Rejected
1720,3.42,STEM,710.0,5.0,Rejected
1721,3.32,Humanities,700.0,5.0,Rejected
1722,3.09,STEM,590.0,6.0,Rejected
1723,3.47,STEM,660.0,7.0,Rejected
1724,3.41,Humanities,750.0,5.0,Rejected
1725,3.05,Business,570.0,6.0,Rejected
1726,3.29,Humanities,710.0,4.0,Admit
1727,3.48,Business,720.0,4.0,Rejected
1728,3.23,Business,670.0,7.0,Rejected
1729,3.35,Humanities,590.0,6.0,Rejected
1730,3.54,Humanities,670.0,6.0,Rejected
1731,3.13,STEM,640.0,7.0,Rejected
1732,3.35,STEM,640.0,6.0,Rejected
1733,3.21,Humanities,610.0,5.0,Rejected
1734,3.2,STEM,650.0,4.0,Rejected
1735,2.83,Humanities,570.0,5.0,Rejected
1736,3.61,Business,700.0,2.0,Rejected
1737,3.12,Business,620.0,5.0,Rejected
1738,3.56,STEM,720.0,5.0,Rejected
1739,3.24,Business,640.0,4.0,Rejected
1740,3.38,STEM,670.0,5.0,Admit
1741,3.47,STEM,690.0,4.0,Admit
1742,3.19,Humanities,720.0,4.0,Rejected
1743,3.31,Humanities,650.0,6.0,Rejected
1744,2.82,Humanities,630.0,5.0,Rejected
1745,3.08,STEM,640.0,5.0,Rejected
1746,2.93,Humanities,570.0,5.0,Rejected
1747,3.26,Business,630.0,5.0,Rejected
1748,3.19,STEM,680.0,5.0,Rejected
1749,3.17,Humanities,690.0,5.0,Rejected
1750,3.41,STEM,650.0,6.0,Rejected
1751,2.86,STEM,570.0,5.0,Rejected
1752,3.0,STEM,620.0,5.0,Rejected
1753,3.14,Business,630.0,6.0,Rejected
1754,3.23,Humanities,630.0,5.0,Rejected
1755,3.22,Business,670.0,6.0,Rejected
1756,3.35,Humanities,650.0,6.0,Rejected
1757,3.21,Business,640.0,5.0,Rejected
1758,3.58,STEM,750.0,4.0,Rejected
1759,3.48,Humanities,670.0,6.0,Rejected
1760,3.38,Humanities,710.0,5.0,Admit
1761,3.2,STEM,660.0,5.0,Rejected
1762,3.17,STEM,600.0,6.0,Rejected
1763,3.5,STEM,710.0,6.0,Admit
1764,2.92,Humanities,610.0,6.0,Rejected
1765,3.25,Humanities,640.0,4.0,Rejected
1766,3.04,Business,570.0,6.0,Rejected
1767,3.26,Business,600.0,5.0,Rejected
1768,3.14,Humanities,640.0,5.0,Rejected
1769,3.28,Business,690.0,6.0,Admit
1770,3.57,STEM,770.0,6.0,Rejected
1771,3.19,Humanities,620.0,6.0,Rejected
1772,3.23,Business,620.0,5.0,Rejected
1773,3.09,Humanities,630.0,5.0,Rejected
1774,3.11,Humanities,640.0,5.0,Rejected
1775,3.21,Humanities,670.0,5.0,Rejected
1776,3.18,Humanities,630.0,3.0,Rejected
1777,3.51,Humanities,700.0,5.0,Rejected
1778,3.1,Humanities,590.0,5.0,Rejected
1779,3.23,Humanities,650.0,3.0,Rejected
1780,2.98,Business,630.0,5.0,Rejected
1781,3.02,Humanities,620.0,4.0,Rejected
1782,3.38,Business,610.0,4.0,Rejected
1783,3.33,Humanities,660.0,4.0,Rejected
1784,3.27,Humanities,710.0,5.0,Rejected
1785,3.14,STEM,640.0,4.0,Rejected
1786,3.35,Business,640.0,6.0,Rejected
1787,3.24,Humanities,640.0,4.0,Rejected
1788,3.25,Humanities,710.0,6.0,Admit
1789,3.38,Business,630.0,5.0,Rejected
1790,3.23,Humanities,650.0,5.0,Rejected
1791,3.24,STEM,670.0,8.0,Admit
1792,3.29,Business,700.0,5.0,Rejected
1793,3.37,Humanities,640.0,6.0,Rejected
1794,3.03,Business,600.0,4.0,Rejected
1795,3.13,Business,620.0,4.0,Rejected
1796,3.3,Humanities,650.0,4.0,Rejected
1797,3.14,STEM,680.0,3.0,Rejected
1798,3.34,Humanities,620.0,5.0,Rejected
1799,3.44,Humanities,700.0,7.0,Rejected
1800,3.47,Business,650.0,5.0,Rejected
1801,3.45,STEM,670.0,6.0,Rejected
1802,3.08,STEM,680.0,6.0,Rejected
1803,3.12,Business,620.0,5.0,Rejected
1804,2.99,Humanities,570.0,5.0,Rejected
1805,3.21,Humanities,700.0,4.0,Rejected
1806,2.98,Humanities,580.0,5.0,Rejected
1807,3.12,Humanities,590.0,3.0,Rejected
1808,3.27,Business,640.0,5.0,Rejected
1809,3.38,Business,640.0,5.0,Rejected
1810,3.25,Humanities,680.0,5.0,Rejected
1811,3.28,Humanities,650.0,5.0,Rejected
1812,3.22,Humanities,640.0,4.0,Rejected
1813,3.22,Business,600.0,5.0,Rejected
1814,3.37,STEM,630.0,5.0,Rejected
1815,3.28,STEM,640.0,6.0,Rejected
1816,3.14,Humanities,600.0,4.0,Rejected
1817,3.41,Humanities,680.0,5.0,Rejected
1818,3.42,Business,670.0,6.0,Rejected
1819,3.35,STEM,670.0,5.0,Admit
1820,3.11,STEM,610.0,5.0,Rejected
1821,3.21,Humanities,720.0,6.0,Rejected
1822,3.35,Humanities,610.0,5.0,Rejected
1823,3.39,Humanities,670.0,6.0,Rejected
1824,3.25,Humanities,610.0,4.0,Rejected
1825,3.16,STEM,620.0,4.0,Rejected
1826,3.21,Humanities,730.0,3.0,Admit
1827,3.32,Humanities,710.0,6.0,Admit
1828,3.08,Humanities,620.0,4.0,Rejected
1829,3.29,Humanities,620.0,4.0,Rejected
1830,3.4,Humanities,690.0,6.0,Rejected
1831,3.24,Humanities,650.0,3.0,Rejected
1832,2.91,Humanities,610.0,5.0,Rejected
1833,3.57,Humanities,760.0,5.0,Rejected
1834,3.23,STEM,640.0,4.0,Rejected
1835,3.1,Humanities,610.0,5.0,Rejected
1836,3.29,STEM,660.0,5.0,Rejected
1837,3.35,STEM,740.0,6.0,Rejected
1838,3.44,Humanities,650.0,6.0,Rejected
1839,3.1,Humanities,630.0,4.0,Rejected
1840,3.14,Humanities,590.0,5.0,Rejected
1841,3.4,Business,720.0,6.0,Rejected
1842,3.12,Humanities,640.0,5.0,Rejected
1843,3.1,Humanities,580.0,5.0,Rejected
1844,3.28,STEM,690.0,4.0,Rejected
1845,3.15,STEM,570.0,6.0,Rejected
1846,3.08,Humanities,570.0,5.0,Rejected
1847,3.1,STEM,660.0,5.0,Rejected
1848,3.3,Business,630.0,6.0,Rejected
1849,3.38,STEM,730.0,6.0,Admit
1850,2.96,Humanities,610.0,6.0,Rejected
1851,3.11,STEM,600.0,6.0,Rejected
1852,3.01,Humanities,670.0,3.0,Rejected
1853,3.36,Humanities,640.0,6.0,Rejected
1854,3.2,STEM,600.0,6.0,Rejected
1855,3.39,STEM,670.0,6.0,Rejected
1856,3.21,Business,570.0,4.0,Rejected
1857,3.65,Humanities,760.0,4.0,Admit
1858,3.27,STEM,670.0,6.0,Admit
1859,3.31,Business,670.0,4.0,Rejected
1860,3.25,Humanities,610.0,5.0,Rejected
1861,3.18,Humanities,580.0,5.0,Rejected
1862,3.28,Humanities,710.0,5.0,Admit
1863,3.24,Humanities,710.0,4.0,Admit
1864,3.29,Business,650.0,6.0,Rejected
1865,3.26,STEM,660.0,6.0,Admit
1866,3.16,Humanities,710.0,6.0,Rejected
1867,3.47,STEM,710.0,8.0,Rejected
1868,3.1,Business,630.0,3.0,Rejected
1869,3.24,Humanities,650.0,5.0,Rejected
1870,3.01,Humanities,630.0,5.0,Rejected
1871,3.08,Business,660.0,6.0,Rejected
1872,3.42,Business,670.0,6.0,Admit
1873,3.35,Humanities,670.0,6.0,Rejected
1874,3.13,Business,640.0,6.0,Rejected
1875,3.11,Business,600.0,6.0,Rejected
1876,3.13,Business,650.0,6.0,Rejected
1877,3.1,Business,630.0,5.0,Rejected
1878,3.24,Business,680.0,5.0,Rejected
1879,3.21,Humanities,640.0,5.0,Rejected
1880,3.29,Humanities,700.0,6.0,Rejected
1881,3.22,Business,650.0,5.0,Rejected
1882,3.18,Humanities,630.0,5.0,Rejected
1883,3.27,STEM,610.0,4.0,Rejected
1884,3.29,STEM,670.0,5.0,Rejected
1885,3.19,Humanities,680.0,5.0,Rejected
1886,3.38,Humanities,700.0,4.0,Rejected
1887,3.19,Business,600.0,3.0,Rejected
1888,3.36,Humanities,750.0,6.0,Rejected
1889,3.3,STEM,620.0,6.0,Rejected
1890,3.15,STEM,590.0,6.0,Rejected
1891,3.5,Humanities,700.0,5.0,Admit
1892,3.37,Humanities,680.0,7.0,Admit
1893,3.16,STEM,670.0,4.0,Rejected
1894,3.33,Business,680.0,4.0,Admit
1895,3.35,Humanities,660.0,4.0,Rejected
1896,3.42,STEM,730.0,7.0,Rejected
1897,3.39,Humanities,780.0,4.0,Admit
1898,3.11,STEM,580.0,6.0,Rejected
1899,3.39,Humanities,660.0,6.0,Admit
1900,3.25,STEM,660.0,5.0,Rejected
1901,3.4,Humanities,660.0,5.0,Admit
1902,3.27,Business,610.0,4.0,Rejected
1903,3.31,STEM,650.0,6.0,Rejected
1904,3.45,Humanities,630.0,6.0,Rejected
1905,3.12,Humanities,670.0,4.0,Rejected
1906,3.2,Humanities,650.0,6.0,Rejected
1907,3.29,STEM,640.0,6.0,Rejected
1908,3.37,STEM,640.0,5.0,Rejected
1909,3.26,STEM,580.0,5.0,Rejected
1910,3.34,Business,720.0,4.0,Rejected
1911,3.65,STEM,730.0,5.0,Admit
1912,3.34,Business,720.0,5.0,Rejected
1913,3.43,STEM,680.0,3.0,Rejected
1914,3.24,Business,640.0,4.0,Rejected
1915,3.34,STEM,610.0,6.0,Rejected
1916,3.34,Humanities,760.0,4.0,Rejected
1917,3.43,Business,650.0,4.0,Rejected
1918,3.17,Business,630.0,5.0,Rejected
1919,3.55,STEM,680.0,5.0,Rejected
1920,3.31,STEM,690.0,6.0,Rejected
1921,3.67,STEM,680.0,5.0,Rejected
1922,3.1,Business,710.0,7.0,Rejected
1923,3.23,Business,680.0,5.0,Admit
1924,3.1,Humanities,710.0,4.0,Rejected
1925,3.02,STEM,610.0,6.0,Rejected
1926,3.2,Business,650.0,7.0,Rejected
1927,3.16,Business,680.0,3.0,Rejected
1928,2.99,Business,570.0,5.0,Rejected
1929,3.28,STEM,600.0,5.0,Rejected
1930,3.06,STEM,610.0,5.0,Rejected
1931,3.21,STEM,620.0,6.0,Rejected
1932,3.27,Business,640.0,5.0,Rejected
1933,3.2,STEM,570.0,5.0,Rejected
1934,3.17,STEM,590.0,6.0,Rejected
1935,3.17,Business,570.0,5.0,Rejected
1936,3.26,Business,690.0,4.0,Admit
1937,3.5,STEM,700.0,5.0,Rejected
1938,3.19,STEM,610.0,6.0,Rejected
1939,3.21,STEM,630.0,5.0,Rejected
1940,3.1,Business,590.0,5.0,Rejected
1941,3.07,Business,650.0,3.0,Rejected
1942,3.18,Business,580.0,5.0,Rejected
1943,3.32,STEM,720.0,2.0,Admit
1944,3.5,Humanities,690.0,6.0,Rejected
1945,3.42,STEM,680.0,5.0,Rejected
1946,3.21,Business,620.0,6.0,Rejected
1947,3.28,Humanities,680.0,5.0,Rejected
1948,3.11,Humanities,630.0,3.0,Rejected
1949,3.41,Humanities,710.0,5.0,Rejected
1950,3.23,STEM,570.0,6.0,Rejected
1951,3.52,STEM,630.0,5.0,Rejected
1952,3.33,Humanities,660.0,6.0,Rejected
1953,3.22,STEM,650.0,6.0,Rejected
1954,3.17,Humanities,570.0,5.0,Rejected
1955,3.2,Business,570.0,5.0,Rejected
1956,3.25,Humanities,660.0,5.0,Admit
1957,3.32,Humanities,700.0,6.0,Rejected
1958,3.29,Business,640.0,5.0,Rejected
1959,3.16,Humanities,630.0,3.0,Rejected
1960,3.17,Humanities,650.0,3.0,Rejected
1961,3.23,Humanities,660.0,5.0,Rejected
1962,3.16,Humanities,610.0,6.0,Rejected
1963,3.12,Business,600.0,6.0,Rejected
1964,3.33,Humanities,670.0,5.0,Admit
1965,3.35,STEM,680.0,3.0,Rejected
1966,3.29,Business,680.0,7.0,Rejected
1967,3.16,Humanities,680.0,4.0,Rejected
1968,3.2,Humanities,570.0,5.0,Rejected
1969,3.4,Humanities,730.0,4.0,Rejected
1970,3.25,Business,660.0,5.0,Rejected
1971,3.42,STEM,730.0,6.0,Admit
1972,3.31,Humanities,760.0,6.0,Admit
1973,2.95,STEM,570.0,5.0,Rejected
1974,3.23,Business,620.0,5.0,Rejected
1975,3.22,STEM,620.0,6.0,Rejected
1976,3.2,Business,640.0,4.0,Rejected
1977,3.15,STEM,590.0,6.0,Rejected
1978,3.07,Business,660.0,4.0,Rejected
1979,3.2,STEM,570.0,6.0,Rejected
1980,3.29,Business,620.0,6.0,Rejected
1981,3.1,STEM,690.0,3.0,Rejected
1982,3.43,Humanities,730.0,5.0,Rejected
1983,3.33,STEM,690.0,7.0,Admit
1984,3.19,Humanities,670.0,5.0,Rejected
1985,3.25,Humanities,580.0,7.0,Rejected
1986,3.33,Humanities,690.0,4.0,Admit
1987,3.2,Business,640.0,6.0,Rejected
1988,3.43,Humanities,720.0,7.0,Admit
1989,3.23,STEM,680.0,5.0,Rejected
1990,3.36,Business,680.0,5.0,Admit
1991,3.42,STEM,640.0,6.0,Rejected
1992,3.27,STEM,630.0,5.0,Rejected
1993,3.2,Humanities,640.0,4.0,Rejected
1994,3.51,Humanities,720.0,6.0,Rejected
1995,3.2,STEM,650.0,6.0,Rejected
1996,3.59,STEM,700.0,6.0,Admit
1997,3.39,Humanities,720.0,5.0,Rejected
1998,3.19,STEM,740.0,5.0,Rejected
1999,3.06,Business,620.0,5.0,Rejected
2000,3.24,STEM,630.0,6.0,Rejected
2001,3.13,Humanities,700.0,5.0,Rejected
2002,3.23,Business,570.0,5.0,Rejected
2003,3.29,Humanities,640.0,5.0,Rejected
2004,3.27,Business,660.0,4.0,Admit
